,UUID,HOSTNAME,ALIAS,TIMESTAMP,STREAMS,THROUGHPUT (Sender),THROUGHPUT (Receiver),LATENCY (min.),LATENCY (max.),LATENCY (mean),RETRANSMITS,CONGESTION (Sender),CONGESTION (Receiver),BYTES (Receiver)
0,60343553-5957-4bfc-8ae0-6cad3256a1cf,10.201.1.2,hostB,2021-06-22T18:51:47.791Z,4,355912278.8780732,333663504.277563,50134.0,51380.0,50309.0,27,cubic,cubic,2506661340
1,704dbc17-1a03-4f8d-b61b-28ce9804ff7f,10.201.1.2,hostB,2021-06-22T18:53:01.254Z,4,449235426.33116543,402246960.3362312,50136.5,52453.5,50323.0,34,cubic,cubic,3021896128
2,659de7bf-08a6-409a-9613-592a0959d057,10.201.1.2,hostC,2021-06-22T18:48:05.487Z,1,2476428661.216489,2468694398.3292327,20160.5,21039.5,20242.0,1702,cubic,cubic,18527688472
3,4c01e088-5fab-4433-ad26-ad709531760e,10.201.1.2,hostA,2021-06-22T18:49:19.839Z,4,428214305.8594855,426876207.98650664,30142.0,30298.0,30196.0,294,cubic,cubic,3204793248
4,c2033cdb-eb65-4b1b-a657-3fad6c478c06,10.201.1.2,hostC,2021-06-22T18:55:28.028Z,4,704189262.62105,701354162.0163364,20175.5,20273.5,20214.0,634,cubic,cubic,5263710152
5,4cddd353-b697-479f-89d3-60ead706169f,10.201.1.2,hostC,2021-06-22T18:54:15.353Z,4,585866488.120384,583451555.5226296,20144.0,20305.0,20204.5,531,cubic,cubic,4378842432
6,af4c2b2b-0fbf-4a18-aa9e-f393c194987e,10.201.1.2,hostA,2021-06-22T18:50:32.806Z,4,569122427.8415297,566216108.8454566,30161.0,30328.0,30206.5,649,cubic,cubic,4250912876
7,aff89797-db62-4756-ba06-eade73797057,10.201.1.2,hostB,2021-06-22T18:45:39.007Z,1,565752074.6203667,518313969.03692585,50139.0,51230.0,50249.5,32,cubic,cubic,3893869780
8,bc2c9161-1260-4b39-8266-9eb5698d5899,10.201.1.2,hostC,2021-06-22T18:46:52.955Z,1,2448641452.3277864,2441224576.183816,20153.0,20381.0,20219.0,1503,cubic,cubic,18321553396
9,1ccb576b-8052-42fe-bc93-8cff67c78892,10.201.1.2,hostA,2021-06-22T18:41:58.546Z,1,1593006168.791775,1585368986.0328476,30128.0,30731.0,30199.0,1894,cubic,cubic,11902240300
10,3b6455b2-ee1b-4093-8321-6213d77373e2,10.201.1.2,hostB,2021-06-22T18:44:25.873Z,1,525906643.74314624,478578056.57605016,50149.5,51183.5,50318.0,44,cubic,cubic,3595346604
11,c4a935c7-f0ea-4f6f-b47c-d6c338cd0e45,10.201.1.2,hostA,2021-06-22T18:56:42.224Z,1,1839332149.5346355,1813311148.3972466,30135.0,32148.5,30218.0,4943,bbr2,bbr2,13613536352
12,b6958c46-0cec-48b4-992e-c120c2d59a5d,10.201.1.2,hostA,2021-06-22T18:43:11.272Z,1,1605589064.0145814,1598006947.7961583,30154.0,30257.5,30186.5,1808,cubic,cubic,11997133840
13,d4b54dea-349d-44e1-8fd6-448bd61f9762,10.201.1.2,hostA,2021-06-22T18:57:54.957Z,1,1708101721.7242563,1685293474.0084589,30127.5,30974.0,30202.0,5199,bbr2,bbr2,12652458516
14,b39c27d7-7217-40d6-bb81-4c8b9eed0439,10.201.1.2,hostB,2021-06-22T18:59:09.567Z,1,8768846768.8832,8721147956.38524,50140.0,52106.0,51420.0,725,bbr2,bbr2,65518745780
15,a184c859-73c9-4638-805e-0ebf5e8159b2,10.201.1.2,hostB,2021-06-22T19:00:22.700Z,1,8761158066.89479,8730319096.87016,50136.5,52584.0,51488.5,753,bbr2,bbr2,65588813924
16,aa217450-62c2-4174-a502-661973c8aea3,10.201.1.2,hostC,2021-06-22T19:01:36.642Z,1,2649182649.0990863,2625956927.0783367,20145.5,21350.5,20266.0,5068,bbr2,bbr2,19707911776
17,e0cc8d6b-4297-4b11-a3d3-eba7dd963759,10.201.1.2,hostC,2021-06-22T19:02:49.179Z,1,2638881207.630672,2617068054.681585,20145.0,20624.0,20234.5,4855,bbr2,bbr2,19641249176
18,34c1475b-9bb7-4720-8261-096afd8d73af,10.201.1.2,hostA,2021-06-22T19:04:03.537Z,4,416957024.43562025,410425993.8655739,30128.0,30782.5,30261.0,2351,bbr2,bbr2,3081292952
19,16316246-313d-4404-a61a-3cafa74895da,10.201.1.2,hostA,2021-06-22T19:05:16.506Z,4,416923493.5327015,413310429.3115482,30148.0,32689.5,30425.5,2343,bbr2,bbr2,3102947112
20,01bb9c83-6859-4208-961c-8e6c1f868941,10.201.1.2,hostB,2021-06-22T19:06:31.522Z,4,2128921175.9976282,2081582976.3589177,50132.0,52134.5,51313.0,166,bbr2,bbr2,15638441908
21,c13b5fc0-4d2c-48c3-90d0-4f866b115dfa,10.201.1.2,hostB,2021-06-22T19:07:44.969Z,4,3021060335.670629,2970231926.47815,50128.5,52260.5,51482.5,319,bbr2,bbr2,22314598396
22,7ce14a48-68d7-4461-a6d6-26a629fae9e5,10.201.1.2,hostC,2021-06-22T19:08:59.105Z,4,612507889.6741287,607357872.1734315,20157.5,21911.0,20327.5,3288,bbr2,bbr2,4558249832
23,27ad222c-11d9-4148-b64c-41e21ace75a2,10.201.1.2,hostC,2021-06-22T19:10:11.765Z,4,974440625.2723954,969384134.9905803,20165.5,21795.5,20318.5,3760,bbr2,bbr2,7275283188
24,dae99a2a-d59a-490a-b008-c0ce6a6a88c0,10.201.1.2,hostA,2021-06-22T19:37:17.337Z,1,1579897906.672555,1572134606.6626413,30140.0,31215.0,30209.0,1704,cubic,cubic,11802899604
25,5329c006-9a72-411e-8950-ab45bab44dd2,10.201.1.2,hostA,2021-06-22T19:38:30.070Z,1,1596309925.5149338,1587772132.6017056,30145.0,31587.5,30215.5,1924,cubic,cubic,11920279468
26,53d24c45-2d89-4c95-923a-19d89ec7fb94,10.201.1.2,hostB,2021-06-22T19:39:44.678Z,1,434122725.37356466,406429807.98070276,50144.0,50984.0,50337.5,41,cubic,cubic,3053330452
27,f306276d-cd4e-411b-b2b0-3699ad25d1d8,10.201.1.2,hostB,2021-06-22T19:40:57.818Z,1,378074401.4612646,343364405.23634523,50137.0,50831.0,50331.5,45,cubic,cubic,2579551748
28,ba5fd4a3-b8fb-4885-b777-39ff4cd4669c,10.201.1.2,hostC,2021-06-22T19:42:11.760Z,1,2467167574.073684,2459773808.784824,20157.0,20567.5,20230.0,1886,cubic,cubic,18460748484
29,641c2b11-30c2-4370-a1d3-129158c50b8a,10.201.1.2,hostC,2021-06-22T19:43:24.293Z,1,2439397866.405716,2430159556.2142167,20159.5,20289.5,20201.5,2689,cubic,cubic,18238444372
30,e86aefd5-84a0-484e-841e-c36231709977,10.201.1.2,hostA,2021-06-22T19:44:38.659Z,4,530450421.9051513,528394451.6857653,30143.5,30285.0,30200.5,438,cubic,cubic,3966948096
31,9d6452c1-c239-4655-8ad7-47f50a3317b7,10.201.1.2,hostA,2021-06-22T19:45:51.620Z,4,430319948.76541364,428294059.4360917,30136.5,30347.0,30220.0,478,cubic,cubic,3215441368
32,7838db6a-bd34-4b21-ab17-a7d1a03065ad,10.201.1.2,hostB,2021-06-22T19:47:06.590Z,4,310391288.2775563,276094230.391113,50138.0,51267.5,50381.0,33,cubic,cubic,2074168708
33,4f240f3d-1096-41f6-a1c9-4cdd17077bb4,10.201.1.2,hostB,2021-06-22T19:48:20.044Z,4,448853136.30607665,401700732.6837073,50139.0,52357.5,50353.5,33,cubic,cubic,3017797944
34,e185eafa-c4c1-4580-881f-c318852db93e,10.201.1.2,hostC,2021-06-22T19:49:34.144Z,4,772862783.4640018,771075364.896186,20156.5,20395.5,20214.5,472,cubic,cubic,5786962348
