,UUID,SRC HOSTNAME,DST HOSTNAME,THROUGHPUT (mean),LATENCY (mean),RETRANSMITS (mean),BYTES (mean)
0,b5935ca6-8cc8-44cc-b4c8-5fd3c93ef7f9,localhost,eqx-ash-pt1.es.net,9889888280.87112,8666.775,798,1236237559.8
1,160f103f-010d-483f-9b30-1cd69a5211a4,localhost,eqx-ash-pt1.es.net,9890013593.31527,8962.391666666666,988,1236259405.1333334
2,110959a9-eed4-4c43-8002-e61416597836,localhost,eqx-ash-pt1.es.net,9887967706.700575,8776.658333333333,16,1235997261.1333334
3,0e1e6855-be94-4a2d-8cca-bfb4dd469261,localhost,eqx-ash-pt1.es.net,9887972321.082813,8702.041666666666,15,1235997261.1333334
4,ce0ee994-bccb-445d-8080-cfca1cf8e32a,localhost,eqx-ash-pt1.es.net,9887708235.02651,8734.425,19,1235965053.7333333
5,beac5087-cd69-418f-b583-6c0783a6de84,localhost,star-pt1.es.net,9865403682.3928,13012.375,3313,1233176755.1333334
6,97bf6d1b-4a9d-485b-8cd4-a78873d9e06a,localhost,star-pt1.es.net,9875068524.193573,12870.108333333334,4144,1234384882.2
7,7b2e45c8-cd2a-425e-8098-e28824f0f868,localhost,star-pt1.es.net,9872020147.04487,12696.491666666667,4853,1234012020.2
8,82be3d06-b796-48ae-9b6e-24cfd15bf1f7,localhost,star-pt1.es.net,9873670424.35155,12655.025,4133,1234210119.5333333
9,40bb5e07-ef24-4d05-8780-6353bb2e018d,localhost,star-pt1.es.net,9874343391.406107,13034.133333333333,3151,1234294219.9333334
10,1650e187-b60c-4242-a40d-b5f65c51d20e,localhost,kans-pt1.es.net,9771911384.647507,20038.216666666667,1479,1221495091.6
11,719ed864-bb2e-45da-aa45-052335da96a7,localhost,kans-pt1.es.net,9738918577.46709,19575.316666666666,1765,1217366323.6
12,f6559e08-62bd-461d-978c-65f1e8c55f6b,localhost,kans-pt1.es.net,9652586248.36317,19772.383333333335,1739,1206574728.9333334
13,d7372c66-5903-457d-8848-bf5a9c6e3386,localhost,kans-pt1.es.net,9719685312.15898,19679.925,2281,1214963336.9333334
14,b152e850-5ebf-4f4a-bc2e-c61f2c364d11,localhost,kans-pt1.es.net,9768899730.77415,19745.083333333332,1681,1221123720.9333334
